gender,age,marital_status,highest_qualification,nationality,ethnicity,gross_income,region,smoke,amt_weekends,amt_weekdays
Female,Young,Married,Degree,Other,White,"15,600 to 20,800",The North,False,0,0
Female,Old,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,False,0,0
Female,Middle-Aged,Married,Higher/Sub Degree,English,White,"2,600 to 5,200",The North,False,0,0
Male,Young,Single,Higher/Sub Degree,British,White,"10,400 to 15,600",The North,True,30,30
Male,Old,Divorced,No Qualification,English,White,"10,400 to 15,600",The North,True,15,8
Male,Old,Single,Other/Sub Degree,English,White,"15,600 to 20,800",The North,False,0,0
Male,Old,Married,Degree,English,White,"10,400 to 15,600",The North,False,0,0
Female,Middle-Aged,Widowed,GCSE/O Level,English,White,"10,400 to 15,600",The North,True,20,4
Male,Middle-Aged,Divorced,Degree,English,White,"Above 36,400",The North,False,0,0
Female,Middle-Aged,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,False,0,0
Female,Young,Married,ONC/BTEC,English,White,"10,400 to 15,600",The North,False,0,0
Male,Middle-Aged,Single,GCSE/O Level,British,White,"15,600 to 20,800",The North,False,0,0
Male,Young,Single,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Male,Middle-Aged,Married,Degree,British,White,"20,800 to 28,600",The North,False,0,0
Male,Young,Married,Degree,British,White,"15,600 to 20,800",The North,False,0,0
Female,Old,Widowed,GCSE/O Level,English,White,"5,200 to 10,400",The North,False,0,0
Male,Young,Separated,A Levels,British,White,"10,400 to 15,600",The North,True,9,9
Male,Young,Single,Degree,British,White,"10,400 to 15,600",The North,False,0,0
Female,Middle-Aged,Married,A Levels,English,White,"15,600 to 20,800",The North,False,0,0
Male,Old,Widowed,No Qualification,English,White,"Under 2,600",The North,False,0,0
Male,Middle-Aged,Divorced,GCSE/O Level,British,White,"Above 36,400",The North,False,0,0
Female,Old,Married,Degree,British,White,"2,600 to 5,200",The North,False,0,0
Female,Old,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,True,30,30
Female,Middle-Aged,Married,Higher/Sub Degree,English,White,"5,200 to 10,400",The North,False,0,0
Female,Middle-Aged,Married,No Qualification,British,White,"Under 2,600",The North,True,15,15
Female,Middle-Aged,Married,Degree,British,White,"28,600 to 36,400",The North,False,0,0
Female,Young,Single,No Qualification,English,White,"2,600 to 5,200",The North,True,7,5
Male,Old,Married,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Female,Young,Divorced,GCSE/O Level,English,White,"10,400 to 15,600",The North,True,2,2
Male,Old,Married,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Female,Old,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,False,0,0
Female,Old,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,False,0,0
Male,Middle-Aged,Married,Degree,British,White,"Above 36,400",The North,False,0,0
Female,Middle-Aged,Married,GCSE/O Level,British,White,"Under 2,600",The North,False,0,0
Male,Old,Married,Degree,English,White,"15,600 to 20,800",The North,False,0,0
Female,Old,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Male,Young,Single,GCSE/O Level,English,White,"5,200 to 10,400",The North,False,0,0
Female,Young,Single,Degree,English,White,"20,800 to 28,600",The North,False,0,0
Male,Old,Married,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Female,Old,Separated,No Qualification,British,White,"2,600 to 5,200",The North,False,0,0
Female,Middle-Aged,Married,Degree,English,White,"5,200 to 10,400",The North,False,0,0
Female,Young,Married,GCSE/O Level,British,White,"15,600 to 20,800",The North,False,0,0
Male,Old,Single,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Female,Old,Single,No Qualification,English,White,"2,600 to 5,200",The North,False,0,0
Male,Middle-Aged,Married,Degree,English,White,"28,600 to 36,400",The North,True,40,40
Male,Young,Single,ONC/BTEC,English,White,"10,400 to 15,600",The North,True,20,8
Female,Old,Married,No Qualification,English,White,"Under 2,600",The North,False,0,0
Male,Middle-Aged,Married,Higher/Sub Degree,Welsh,White,"28,600 to 36,400",The North,False,0,0
Male,Young,Married,GCSE/O Level,English,White,"Above 36,400",The North,True,30,15
Male,Old,Widowed,Other/Sub Degree,Scottish,White,"15,600 to 20,800",The North,False,0,0
Male,Young,Separated,Degree,English,White,"Above 36,400",The North,False,0,0
Female,Young,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,False,0,0
Male,Young,Married,Degree,English,White,"28,600 to 36,400",The North,False,0,0
Female,Young,Married,Higher/Sub Degree,British,White,"10,400 to 15,600",The North,False,0,0
Female,Young,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,False,0,0
Female,Old,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,True,20,20
Female,Young,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,True,20,15
Male,Young,Single,No Qualification,English,White,"2,600 to 5,200",The North,True,2,2
Female,Young,Married,GCSE/CSE,British,White,"5,200 to 10,400",The North,False,0,0
Female,Young,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,True,12,12
Male,Middle-Aged,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,False,0,0
Female,Middle-Aged,Married,Higher/Sub Degree,English,White,"Under 2,600",The North,False,0,0
Male,Middle-Aged,Married,GCSE/CSE,British,White,"28,600 to 36,400",The North,False,0,0
Female,Old,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,False,0,0
Female,Old,Single,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Male,Middle-Aged,Divorced,GCSE/O Level,English,White,"10,400 to 15,600",The North,True,25,30
Female,Young,Single,Degree,English,White,"Above 36,400",The North,False,0,0
Male,Old,Married,No Qualification,English,White,"15,600 to 20,800",The North,False,0,0
Female,Young,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,False,0,0
Female,Middle-Aged,Separated,No Qualification,British,White,"5,200 to 10,400",The North,True,10,10
Female,Middle-Aged,Married,No Qualification,British,White,"15,600 to 20,800",The North,False,0,0
Male,Young,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,False,0,0
Male,Middle-Aged,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,False,0,0
Male,Old,Married,No Qualification,English,White,"2,600 to 5,200",The North,False,0,0
Female,Young,Married,A Levels,British,White,"5,200 to 10,400",The North,False,0,0
Female,Young,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,False,0,0
Male,Middle-Aged,Single,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Female,Young,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,False,0,0
Female,Young,Single,Degree,English,White,"15,600 to 20,800",The North,True,12,8
Female,Old,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,False,0,0
Female,Old,Single,No Qualification,English,White,"2,600 to 5,200",The North,False,0,0
Male,Middle-Aged,Married,No Qualification,English,White,"10,400 to 15,600",The North,False,0,0
Female,Old,Single,No Qualification,English,White,"2,600 to 5,200",The North,False,0,0
Female,Young,Single,Degree,Other,White,"5,200 to 10,400",The North,False,0,0
Male,Old,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,True,50,50
Female,Young,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,False,0,0
Male,Young,Single,GCSE/CSE,English,White,"5,200 to 10,400",The North,False,0,0
Female,Young,Separated,ONC/BTEC,English,White,"10,400 to 15,600",The North,False,0,0
Female,Middle-Aged,Separated,No Qualification,English,Mixed,"5,200 to 10,400",The North,True,10,7
Female,Young,Married,Higher/Sub Degree,English,White,"10,400 to 15,600",The North,True,10,5
Female,Old,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Female,Old,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Male,Middle-Aged,Single,No Qualification,British,White,"20,800 to 28,600",The North,False,0,0
Male,Middle-Aged,Married,Degree,British,White,"20,800 to 28,600",The North,False,0,0
Female,Middle-Aged,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,False,0,0
Female,Young,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,True,5,0
Male,Young,Married,Other/Sub Degree,Scottish,White,"10,400 to 15,600",The North,False,0,0
Female,Old,Widowed,No Qualification,British,White,"Under 2,600",The North,False,0,0
Male,Old,Married,No Qualification,English,White,"10,400 to 15,600",The North,False,0,0
Male,Middle-Aged,Married,No Qualification,British,White,"10,400 to 15,600",The North,False,0,0
Male,Old,Married,No Qualification,English,White,"5,200 to 10,400",The North,True,6,8
Male,Old,Married,Higher/Sub Degree,English,White,"28,600 to 36,400",The North,True,16,18
Male,Old,Married,No Qualification,English,White,"20,800 to 28,600",The North,False,0,0
Male,Middle-Aged,Divorced,No Qualification,British,White,"5,200 to 10,400",The North,False,0,0
Male,Middle-Aged,Married,ONC/BTEC,English,White,"28,600 to 36,400",The North,False,0,0
Female,Young,Divorced,No Qualification,English,White,"10,400 to 15,600",The North,True,15,15
Female,Young,Single,GCSE/O Level,English,White,"10,400 to 15,600",The North,False,0,0
Female,Old,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Male,Middle-Aged,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,False,0,0
Male,Old,Widowed,No Qualification,British,White,"10,400 to 15,600",The North,True,10,10
Female,Young,Divorced,GCSE/O Level,British,White,"20,800 to 28,600",The North,False,0,0
Female,Middle-Aged,Divorced,GCSE/CSE,English,White,"10,400 to 15,600",The North,True,5,0
Male,Middle-Aged,Single,Other/Sub Degree,British,White,"15,600 to 20,800",The North,False,0,0
Female,Young,Single,Degree,English,White,"10,400 to 15,600",The North,False,0,0
Female,Old,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,False,0,0
Female,Old,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,False,0,0
Female,Old,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Male,Young,Single,GCSE/O Level,English,White,"Under 2,600",The North,True,20,10
Male,Old,Widowed,No Qualification,English,White,"15,600 to 20,800",The North,False,0,0
Female,Young,Single,GCSE/CSE,English,White,"5,200 to 10,400",The North,True,40,15
Male,Old,Separated,No Qualification,English,White,"5,200 to 10,400",The North,True,8,8
Male,Middle-Aged,Married,No Qualification,British,White,"2,600 to 5,200",The North,True,20,10
Male,Young,Single,GCSE/O Level,British,White,"15,600 to 20,800",The North,False,0,0
Female,Young,Married,No Qualification,British,White,"Under 2,600",The North,False,0,0
Female,Old,Married,No Qualification,British,White,"2,600 to 5,200",The North,True,5,5
Female,Young,Single,Other/Sub Degree,English,White,"5,200 to 10,400",The North,True,5,10
Female,Old,Divorced,GCSE/CSE,English,White,"2,600 to 5,200",The North,False,0,0
Female,Young,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,False,0,0
Female,Young,Single,GCSE/O Level,English,White,"5,200 to 10,400",The North,True,10,4
Female,Middle-Aged,Married,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Female,Middle-Aged,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,True,35,35
Female,Old,Married,No Qualification,English,White,"Under 2,600",The North,False,0,0
Female,Young,Married,GCSE/O Level,English,White,"Under 2,600",The North,False,0,0
Female,Young,Married,A Levels,Other,Asian,"Under 2,600",The North,False,0,0
Female,Old,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,False,0,0
Female,Young,Widowed,No Qualification,English,Asian,"5,200 to 10,400",The North,True,10,8
Female,Middle-Aged,Married,No Qualification,British,Asian,"Under 2,600",The North,False,0,0
Female,Young,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,False,0,0
Male,Old,Married,Other/Sub Degree,English,Black,"5,200 to 10,400",The North,False,0,0
Female,Old,Single,Degree,English,White,"5,200 to 10,400",The North,False,0,0
Male,Middle-Aged,Married,Other/Sub Degree,British,Chinese,"15,600 to 20,800",The North,True,40,40
Female,Middle-Aged,Married,GCSE/O Level,English,White,"10,400 to 15,600",The North,False,0,0
Female,Young,Married,ONC/BTEC,British,White,"10,400 to 15,600",The North,True,7,7
Female,Old,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,False,0,0
Female,Young,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,False,0,0
Female,Young,Married,GCSE/CSE,British,White,"Under 2,600",The North,True,10,10
Male,Middle-Aged,Married,Degree,English,White,"20,800 to 28,600",The North,False,0,0
Female,Middle-Aged,Married,No Qualification,British,White,"10,400 to 15,600",The North,True,20,20
Male,Middle-Aged,Married,Other/Sub Degree,English,White,"28,600 to 36,400",The North,False,0,0
Female,Young,Married,GCSE/O Level,English,White,"Under 2,600",The North,False,0,0
Female,Middle-Aged,Married,GCSE/O Level,Scottish,White,"20,800 to 28,600",The North,False,0,0
Female,Old,Married,GCSE/O Level,English,White,"Under 2,600",The North,False,0,0
Male,Young,Single,Degree,English,White,"15,600 to 20,800",The North,False,0,0
Male,Middle-Aged,Married,Higher/Sub Degree,English,White,"28,600 to 36,400",The North,False,0,0
Female,Old,Married,No Qualification,British,Asian,"5,200 to 10,400",The North,False,0,0
Female,Young,Single,Degree,English,White,"28,600 to 36,400",The North,False,0,0
Male,Middle-Aged,Single,No Qualification,British,White,"10,400 to 15,600",The North,False,0,0
Male,Middle-Aged,Married,GCSE/CSE,English,White,"20,800 to 28,600",The North,True,15,15
Female,Old,Divorced,No Qualification,English,White,"2,600 to 5,200",The North,True,20,20
Female,Middle-Aged,Single,Degree,British,White,"15,600 to 20,800",The North,False,0,0
Female,Young,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,False,0,0
Male,Young,Single,Degree,British,White,"28,600 to 36,400",The North,False,0,0
Male,Old,Widowed,Other/Sub Degree,English,White,"2,600 to 5,200",The North,False,0,0
Female,Middle-Aged,Married,Higher/Sub Degree,British,White,"Under 2,600",The North,False,0,0
Male,Young,Single,No Qualification,British,White,"10,400 to 15,600",The North,True,15,10
Male,Middle-Aged,Married,No Qualification,English,White,"28,600 to 36,400",The North,False,0,0
Male,Young,Divorced,GCSE/O Level,English,White,"15,600 to 20,800",The North,False,0,0
Female,Middle-Aged,Divorced,GCSE/O Level,English,White,"15,600 to 20,800",The North,False,0,0
Female,Old,Married,No Qualification,English,White,"2,600 to 5,200",The North,False,0,0
Female,Young,Single,No Qualification,British,White,"2,600 to 5,200",The North,False,0,0
Female,Middle-Aged,Married,No Qualification,British,White,"5,200 to 10,400",The North,True,10,1
Female,Young,Single,GCSE/CSE,English,White,"5,200 to 10,400",The North,True,20,20
Female,Middle-Aged,Married,Degree,Welsh,White,"28,600 to 36,400",The North,False,0,0
Female,Old,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,False,0,0
Female,Old,Married,No Qualification,English,White,"Under 2,600",The North,False,0,0
Female,Young,Single,Higher/Sub Degree,English,White,"5,200 to 10,400",The North,True,15,10
Female,Young,Married,ONC/BTEC,British,White,"15,600 to 20,800",The North,False,0,0
Male,Young,Single,GCSE/CSE,English,White,"15,600 to 20,800",The North,False,0,0
Female,Old,Married,No Qualification,English,White,"Under 2,600",The North,False,0,0
Male,Old,Married,Other/Sub Degree,English,White,"2,600 to 5,200",The North,False,0,0
Female,Old,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Female,Middle-Aged,Divorced,No Qualification,English,White,"10,400 to 15,600",The North,False,0,0
Male,Middle-Aged,Married,Higher/Sub Degree,British,Chinese,"Above 36,400",The North,False,0,0
Female,Young,Single,No Qualification,Other,Asian,"Under 2,600",The North,False,0,0
Female,Young,Married,GCSE/O Level,Other,Asian,"Under 2,600",The North,False,0,0
Male,Middle-Aged,Divorced,Degree,English,White,"2,600 to 5,200",The North,False,0,0
Male,Old,Single,Other/Sub Degree,British,White,"5,200 to 10,400",The North,False,0,0
Female,Middle-Aged,Separated,No Qualification,Other,Asian,"2,600 to 5,200",The North,False,0,0
Female,Young,Single,Other/Sub Degree,English,White,"2,600 to 5,200",The North,False,0,0
Female,Old,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Male,Old,Widowed,No Qualification,Other,Asian,"2,600 to 5,200",The North,False,0,0
